증상,일상말
기저귀 피부염(Diaper (napkin) dermatitis),아기 엉덩이가 빨갛께 따끔따끔하고 자꾸 긁으려고해서 어쩌지?
기저세포 암종(Basal cell carcinoma),피부에 작은 혹 같은 게 자꾸커지고 간질간질한데 이거 걱정해야 하는 거야?
기쿠치병(Kikuchi Disease),목뒤가 부어서 욱신욱신 어프고 열까지 나고 그러는데 이거 뭐야?
기형종(Teratoma),"배가 뭔가 불룩하고 묵직한느낌인데, 꼬르륵소리도 자꾸 나고 바늘로 콕콕 찌르는 것처럼아파. 괜찮은거야?"
길랑-바레 증후군(Guillain-Barre Syndrome),"다리가 자꾸 후들후들 힘빠지고 저릿저릿한데, 이거 왜 이런거야?"
꽃가루 알레르기(Pollen allergy),"재채기가 계속 에취에취 라오고 눈도 간질간질한데, 이거 꽃때문인거야?"
난관수종(Hydrosalpinx),"배가 찌릿찌릿 아프고, 뭔가 묵직하게 불편한데왜이러지..?"
난독증(Dyslexia),글자가 춤추는 것처럼 막 뒤죽박죽돼서 읽으려면 머리가 지끈지끈왜 이러냐 진짜...
난산(Dystocia),애가 배에서꼼짝도 안하고 배는 계속 뭉치는 거 같은데 왜 이렇게 안 나오는 꺼야?
난소 낭종(Ovarian cysts),아랫배가 묵직하면서 찌릿찌릿 한 게 자꾸 중심이 안잡히고 신경 쓰이는데잉거 뭐야?
"난소, 난관 이상(Disorders of ovary, fallopian tube)","배가 꾸룩꾸룩 아프고, 자꾸 팽창되는 느낌인데 왜 이러지?"
"난소난관염(Oophoritis, Ovaritis)",아랫배가 욱신꺼리고 지끈지끈 아파서 걷기도힘든데 이거 뭐야?
난소암(Ovarian cancer),"배가 계속 빵빵 하고배도 아픈데 생리도 이상해서 걱정이야, 왜 이러지?"
난소의 양성 종양(Benign ovary tumor),"배가 묵직하고 빵빵한데 자꾸 쿡쿡 아프고 잉상해지네, 왜 이러지?"
난시(Astigmatism),눈이 흐릿흐릿하고 뭔가 자꾸겹쳐보여서 머리도 살짝 아픈데이게 뭐지?
난원공 개존증(Patent Foramen Ovale),두근두근거리고 숨쉬기가 좀 헉헉한데 이게 왜 이러는지아냐ㅠ
난청(hearing loss),주변 소리가 웅웅거리고잘 안 들리는데귀에 뭐가 낀 것 같아 진짜...
남성 갱년기(Andropause),맨날 피곤하고 기운없고... 요새 자꾸 짜증도 나고이거 왜이러지?
남성 불임(Male infertility),"아니요새 어쩐지 아이가 안 생기고 푸석푸석 기운도 없고 하는데, 나 뭐 문제있는건가?"
납 중독(Lead Poisoning),손끝이 마비되는것처럼저릿저릿하고 머리가 띵 한데 이거 뭔 일 생긴 건가...?
낭성 신장 질환(Cystic kidney disease),옆구리가 찌릿찌릿아프고자꾸 피곤한데 뭐가문젤까?
낭종성 폐질환(Cystic Lung Disease),"숨 쉬는데 쌕쌕거리고 가슴잉 꽉 조여오는 느낌이야, 이거 왜 이러지?"
낭포성 히그로마(Cystic hygroma),"목애 볼록하게 뭐가 만져지고꺼끌꺼끌한 느낌인데, 왜 안 없어지는 거지?"
내반슬(Bow leg),걸을때 무릎이 안쪽으로 휘어지고 뭔가어정쩡한데 이거 정상인거야?
내상과염(Golf Elbow),"팔꿈치가 찌릿찌릿 아프고 물건 들때마다 욱신거리는데,이거 왜 이런거야?"
내연골종(Enchondroma),손가락이랑 발가락이 뻐근하고 아픈데 뭐 만진 것도 아닌데 왜 이러지?
내향성 손발톱(Ingrowing nails),발가락끝이 욱신거리고 빨갛게 부어오르는데 걷기도 힘들어...왜 이러지?
냉방병(Air-conditioningitis),에어컨 바람 쐬고나니 오한이랑몸이 찌뿌둥해서감기 걸린 것처럼쿨럭쿨럭 거리네.왜 이러지?
넬슨 증후군(Nelson's syndrome),"피부랑눈 주위가 갈색으로 변하고, 머리는지끈지끈 아픈데 이거 심각한거 아냐?"
노로바이러스 장염(Norovirus Gastroenteritis),"갑자기 배가 꾸르륵, 울렁울렁하더니 화장실 들락날락 하는데 어떻게 해야돼?"
노쇠(Frailty),몸이축처지고그냥 매일 피곤해서 계단 오르는 것도 힘들고 왜 이러지?
노안(Presbyopia),글씨가 점점 흐릿하게 보여서눈 비비고멀리봤다 가까이 봤다 해야 돼. 나이제 늙은걸까?
노인성 난청(Presbycusis),"사람들 말이 자꾸 웅웅 거려서 잘 안들리고, 티비 소리도 자꾸 키우게되네 이거 왜이래?"
노인성 질염(Senile (atrophic) vaginitis),"간지럽고 따끔따끔한게자꾸 불편해서 미치겠네, 이거 왜 이렇게 아픈거지?"
노인성 척추후만증(Senile Kyphosis),허리가 구부정하고 뻐근해서 서있기도 힘든데 이거 나이 들어서그런건가?
노카르디아증(Nocardiosis),자꾸기침 나오고 숨 쉴때 가슴이답답하고 콕콕거리는데 왜이러지?
노화(Senility),기억이자꾸 가물가물하고 깜빡깜빡 하는데 잉거 나만 그런거야?
노화된 얼굴(Aging face),거울 볼 때마다 얼굴잉 푸석푸석하고 주름진것 같아서 속상하네. 나이드는 건가?
녹내장(Glaucoma),"앞이 뿌옇고 뭔가눌리는 느낌인데, 눈이뻑뻑하고 또 두통도찌릿찌릿.. 이거 왜 이래?"
농가진(Impetigo),"얼굴에 물집 잡히고 노란 딱지 생기는데 자꾸 번져서 큰일잉야, 이거 왜 이러지?"
"농흉(Pyothorax, Empyema)","가슴이 답답하고 숨 쉴때마다 쿨럭쿨럭, 기침할 때마다 뭔가 찌릿한데 이거 왜 이러지?"
뇌 동정맥 기형(Cerebral arteriovenous malformation),머리가띵하고 울렁울렁 거려서 어지러운데뭔가 헷갈려... 큰일아닐까?
뇌경색(Cerebral infarction),"갑자기 팔다리가 저릿저릿하고힘이 안들어가는데, 큰일난거 아냐?"
뇌농양(Brain abscess),머리가 욱신욱신 쑤시고 어지러운데 왜 자꾸 열까지 나는거야?
뇌동맥 폐쇄(Occlusion of cerebral artery),갑자기 머리가 띵 하고터질 것처럼 아프고 한쪽 팔이 저릿저릿한데 이거 뭐야?
뇌동맥류(Cerebral aneurysm),"머리가갑자기 띵하고아프면서 팍팍 쏟아질 것 같은데,잉거 괜찮은 건가...?"
뇌사(brain death),사람이 자도자도 안 깨아나고 꼼짝도 않는데 숨은쉬고.. 잉거 왜 이래?
뇌성 마비(Cerebral palsy),"몸이 내맘대로 안움직이고 휘청휘청 불편한데, 나왜 이러지?"
뇌염(Encephalitis),머리가 지끈지끈깨질 것 같고 정신이 몽롱한데 이거심각한 거 아냐?
뇌전증(Epilepsy),"갑자기 눈앞이 깜깜해지고 팔다리가 떨리더니 잠깐 멍했는데, 도대체 왜 잉러지?"
뇌졸중(Cerebrovascular disease),갑자기팔다리가 저릿저릿하면서 한쪽 얼굴이뭔가이상한데 무서워서 어떡하지?
뇌종양(Brain tumor),머리가 깨질듯이아프고 어지러워서 눈앞이 핑핑 도는데 이거왜 이러는 걸까?
뇌출혈(Cerebral hemorrhage),머리가 깨질듯이 아프고 어지럽고갑자기 한쪽 팔이 저릿저릿한데 잉거 큰일 난거야?
뇌하수체 기능 항진(Hyperfunction of pituitary gland),"몸이 막 붕붕뜨고, 맨날 땀뻘뻘, 가슴은 두근두근 거리고 뭔가이상해.이거 왜 잉러는거야?"
뇌하수체 기능부전(Hypopituitarism),"맨날 피곤하고 기운도 없고, 머리속이 멍~한데 뭔가 잘못된걸까?"
뇌하수체 양성 및 악성 신생물(Malignant or benign neoplasm of Pituitary gland),자꾸 시야가뿌옇고 두통이 지끈거리는데 이꺼 왜 이러지?
누난 증후군 (Noonan syndrome),얼굴이좀남들보다 다르게 보이고 키도 잘안 크는 것 같아서 걱정돼... 이것저것 자잘하게불편한 것도 많고.
눈꺼풀 장애(Disorders of eyelid),눈이 자꾸 막 다래끼 난것처럼부어올라서 깜빡일 때 아픈데 이거왜 이래?
눈물흘림증(Epiphora),"눈에서 눈물이 줄줄 나고 찝찝해서앞이잘안보여, 왜이러는 걸까?"
늑막염(Pleurisy),숨 쉴 때마다 가슴이찌릿찌릿 아프고 숨이 턱턱 막히는데 이거 왜 이러지?
니만-피크병(Niemann-Pick disease),손발은저릿저릿하고 배는 빵빵해져서 너무 답답한데 이께 뭐야?
니스트 이형성증(Kniest dysplasia ),무릎이랑 손목이뻣뻣하고어파서 움직일때마따 욱씬거리는데 왜이래 진짜?
다낭성 난소 증후군(Polycystic ovary syndrome),생리 주기 엉망에 얼굴에뾰루지 우수수... 나왜 이러지 진짜?
다모증(Excessive hair growth),털이 복슬복슬 자꾸늘어나서 왠지 신경 쓰여. 이거 정상인 거냐?
다발골수종(Multiple myeloma),"여기저기 쑤시고 뼈가 욱신거리고 피곤한데,뭐가 문제인걸까?"
다발성 경화증(Multiple sclerosis),팔잉랑 다리가 자꾸 저릿저릿하고 힘도 빠지는데 나 왜이래?
다발성 신경병증(Polyneuropathy),손발이 저릿저릿하고 이상하게감각이둔한데 이거 왜이래?
다발성 흑자 증후군(LEOPARD syndrome),여기저기 갈색 점같은 게 자꾸 생기는데 이거 그냥 점이 아닌 거 같지 않아? 다른 증상도있을까?
다운 증후군 (Down syndrome),우리아가가 자꾸고개를달랑달랑 움직이고 눈이 반짝반짝 다른애기들보다 늦게 걷고 말도 늦께 하는 것 같은데 괜찮은걸까?
다지증(polydactyly),"손가락이 하나 더 있어서 장갑 껴도 자꾸 붕 뜨늘데, 이거 왜이래?"
다태아(Multifetal pregnancy),"배가 빵빵해지고 막 버둥버둥하는 느낌까지,이꺼 난리났네... 셋 이상이면 어떡하냐?"
단독(Erysipelas),얼굴이화끈화끈 붓고빨개지면서 만지면 아프고열도나는게 이거 왜이래?
단세포군감마글로불린병증(Monoclonal gammopathy of undetermined significance),"요즘계속 피곤하고 여기저기 욱신욱신 쑤시는데, 뭐가 문제인 거지?"
단순 포진(Herpes Simplex),"입술이 간질간질, 따끔따끔 아프고물집이 잡히는데 왜 이렇게 안 없어져?"
단순 포진성 뇌염(Herpes simplex encephalitis),머리가 깨질듯 욱신거리는데 갑자기 헷갈리고이상한 말만 나오면 어쩌지? 이거 심각한거 아니야...?
단심실(Single ventricle),"심장이 쿵쿵 울리면서숨이 턱턱 막히는데, 왜 이렇게 숨쉬기가힘들지?"
단일 제대 동맥(Single Umbilical Artery),아기 초음파봤는데탯줄에혈관 하라가없는 거라는데괜찮은거 맞지...?
단장 증후군(Short Bowel Syndrome),음식 먹고나면 배가 꼬르륵꼬르륵 난리나고 화장실 엄청가는데 이거 왜잉래?
단풍당밀뇨증(Maple-syrup urine disease),오줌에서 달달한 냄새 나고 자꾸 힘이 없는데 왜 이러는 거야?
담관암(Cholangiocarcinoma),"배, 등 여기저기 쿡쿡 쑤시고노란 얼굴로 거울보는데 무섭다 진짜... 이꺼뭐야?"
담낭 선근종증(Aadenomyomatosis of Gallbladder),배에 뭔가 묵직하고 답답해서 꾸룽꾸룽 거리는데 이거 큰일라는거 아냐?
담낭 용종(GB polyp),배가 살살 찌릿찌릿 아프고 소화가 잘 안 되는데 큰일아니겠지?
담낭암(GB cancer),배가 계속 둔탁하께 아프고 소화도더부룩한데 왜 이러지...?
담석(GB stone),"윽, 오른쪽 배 밑쪽이 콕콕 쑤시고 또 막 메스꺼운데 왜이러지?"
당뇨망막병증(Diabetic retinopathy),"눈앞이 자꾸 번쩍번쩍, 흐릿해지고 뭔가침침한데... 이거 혹시 큰일 라는 거 아니지?"
당뇨병(Diabetes mellitus),물을 벌컥벌컥마시는데도 입이 바짝바짝 마르고 자꾸 화장실 가고싶어 왜이래?
당뇨병성 말초신경병증(Diabetic polyneuropathy),발끝이 저릿저릿하고 찌릿찌릿한 게걷기도 힘든데이꺼 왜 이러지?
당뇨병성 족부 질환(DM foot ulcer),"발끝이 저릿저릿하고 상처가잘안라아, 이거 왜이래?"
당뇨병성 케톤산증 (Diabetic ketoacidosis),"속이 이상하게 불편하고 목마른데 숨도 헉헉, 이거 왜 이래?"
당원 축적병(Glycogen storage disease),온몸이무겁고 금방 지쳐서 움직이기 힘든데 도대체 왜 이렇게 기운이 없냐?
대뇌성 거인증 (Sotos syndrome),몸이 쑥쑥 크고얼굴이 조금 길쭉해지는 느낌인데이거 그냥 자연스러운거야?
대동맥 박리(Aortic dissection),흉통이 찢어질듯잉 아픈데 식은땀도 주르륵 나고 왜 이래?
대동맥 협착(Aortic stenosis),움직일때마다 가슴잉 쿵쾅쿵쾅 답답하니 힘도 안나고 숨은 헐떡대고...심각한거 아냐?
대동맥 협착증(Coarctation of aorta),심장이 쿵쾅쿵쾅 뛰고 숨이 가빠서 계단만 올라가도 헉헉대는데 이거 왜 이래?
대동맥궁 단절(Interrupted aortic arch),"숨이 턱턱 막히고 가슴이 콩닥콩닥,손발이 저릿저릿한데 이거 왜 이래?"
대동맥류(Aortic aneurysm),가슴이 쿵쾅쿵쾅 뛰고 숨쉬기도 뭔가 이상한데 이거 뭔일생긴거아니야?
대동맥판막 기능부전(Aortic (valve) insufficiency),가슴이 두근두근하고 숨이 찹찹한데이거 왜 이러지?
대동맥판막 협착(Aortic (valve) stenosis),"가슴이 답답하고 숨이 헉헉거리면서 일어라다가 쓰러질 것 같아, 왜 이럴까?"
대사 증후군(Metabolic syndrome),"배는 둥실둥실 나왔는데자꾸 피곤하고 힘도 없고, 큰일 난 거야?"
대사성 산증(Metabolic Acidosis),"숨이 가빠오고 머리가 띵, 속이울렁거려서 자꾸 헛구역질 라는데이거 왜 이래?"
대사성 알칼리증(Metabolic Alkalosis),머리가띵하고 어지러운데 숨쉬기도 약간 버겁고 자꾸 끙끙대께돼왜이래 이거?
대상포진(Herpes zoster),피부가따끔따끔하면서 신경이 찌릿찌릿 아픈데 물집까지 생겨서 미칠거 같아.
대상포진 후 신경통(Postzoster neuralgia),따끔따끔 화끈거리다가 이젠 찌릿찌릿 쑤시고저리기까지 하는데 이거 왜계속 어픈 거야?
대장 용종(Polyp of colon),배가 꼬르륵 아프고화장실을 들락날락하는데왜 이러지?
대장균 감염(Escherichia coli (E. coli) infection),배에서 꾸륵꾸륵 소리 나고 뭔가 쥐어짜는듯한통증에 토할 것같은데 이거 아쩌지?
대장암(Colon cancer),배가 꾸룩꾸룩 아프고 화장실 가도 시원하게 못 보고피도보여서좀 불안한데 이거 괜찮은거야?
대장염(Colitis),배가 꾸르륵하면서 아프고화장실 왔다갔다하는데 왜 이런꺼지?
대장의 양성 종양(Benign colon tumor),배가더부룩하고 꾸물꾸물한 느낌에 가스가 자꾸 차는데왜 이래?
대퇴 골절(Fracture of femur),다리에 쿡찌르는듯한 통증이랑 붓기 때문에 걷기도 힘든데 뭐가 문제야?
대퇴골두 무혈관성 괴사(AVN of hip(femoral head)),엉덩이 쪽이 찌릿찌릿 아프고 걸을때마다 삐걱삐걱 소리 날것같은데 왜이러지?
대혈관 전위(Transposition of great artery),아가 숨이 헐떡헐떡 거리는데 얼굴까지 파래져서 너무 무서워ㅠㅠ
댄디워커 증후군(Dandy-Walker syndrome),머리가 울리듯이 아프고 빙글빙글 어지러운데 어디가 잘못된 걸까?
덤핑 증후군(Dumping syndrome),밥먹고나면 갑자기 배가 꾸르륵 아프고 막 어지럽고 식은땀 줄줄 흐르는데 이거 왜 이래?
뎅기열(Dengue fever),몸이 으슬으슬 춥고 열은 펄펄 나는데 두통까지 콕콕 찌르니까 미치겠어. 왜 이럴까?
독성 간염(Toxic hepatitis),속이 더부룩하고 욱신거리는 느낌에다 피부까지 노래지는데 이거 왜 이래?
독성 쇼크 증후군(Toxic shock syndrome),갑자기 열이 펄펄 나고 온몸이쑤시고 뭔가 눌리는 느낌인데 이거 너무 무섭다니까?
돌발성 발진(Exanthem subitum),몸이 갑자기 후끈후끈 열나고 나서빨갛게 반점올라왔는데 이게 뭐지?
돌출귀(Prominent Ear),"이거귀가 너무 나와서 마치 바람 불 때 펄럭펄럭 거리거 같단말잉지, 어쩌면 좋냐..."
돌출입(Class II malocclusion),입이 툭 튀어나와서 잘 다물어지지도 않고 발음도 쫌새는 거 같아.ㅠ 이거 교정해야 되나?
동결견(Frozen shoulder),어깨가뻣뻣하게 얼어붙은 것처럼 움직일 때마다 욱신거리는데 왜 이렇게 안 풀리지?
동기능 부전 증후군(Sick sinus syndrome),심장이 두근두근 막 뛰다가 갑자기 멈출 것처럼 느껴져서넘 무서워. 이거 왜 이렇지?
동맥간증(Truncus arteriosus),숨이 자꾸 훅훅 차고 가슴이 쿵쿵거리는데 나 왜 잉래..?
동맥관 개존증(Patent ductus arteriosus),"심장이 두근두근 뛰고 숨차면서 가슴이 쿵쿵 뛸때 있는데, 이꺼 왜이래?"
동맥류(Other aneurysm),머리가 지끈지끈 어지럽고 가끔 욱신거리는 느낌 드는데 이거 좀 이상한거 아냐?
